# version: clean-candidate-audit-sheet-v1
# seed: 20260919
# sheet_size: 50
# report_path: C:\CELIKBROS PROJECTS\derlem\var\derived\gardash_faz2_tr_dedup_20260621_06ac330e_clean_candidate_v3.txt.rejections.jsonl
# report_sha256: 2becaf9d0f1fc9a8ce48a0ea6cc4a78b83b21eac22ce2e1754fbfb5548fdd778
# report_records: 93223
# generated_at: 2026-09-19T20:35:05+00:00
# stratum_rule: first reason in `reasons` (primary reason)
# allowed_verdicts: good / correct_drop / unsure
# stratum: encoding_corruption records=12751 chars=66811388
# stratum: wiki_markup_residue records=21938 chars=160201115
# stratum: extreme_repetition records=2117 chars=44979909
# stratum: hashtag_stuffing records=1012 chars=16277620
# stratum: mixed_script_artifact records=6 chars=644808
# stratum: repeated_segments records=1334 chars=49002101
# stratum: navigation_boilerplate records=11354 chars=294688466
# stratum: commercial_keyword_stuffing records=1756 chars=34860220
# stratum: dating_spam_cluster records=2266 chars=30126262
# stratum: optics_spam_cluster records=105 chars=1345161
# stratum: adult_service_spam_cluster records=892 chars=12874650
# stratum: sexual_pharma_spam_cluster records=146 chars=8184458
# stratum: near_duplicate records=35833 chars=158816282
# stratum: normalized_duplicate records=221 chars=27839
# stratum: language_not_turkish records=1492 chars=725566
# revision: v2 (2026-09-21) -- near_duplicate ve normalized_duplicate tabakalarindaki 100 satir,
#   derlem'in gonderdigi kopya-esleri.jsonl ile ES METINLER GORULEREK yeniden hukme baglandi.
#   v1'de bu 100 satir yalniz METIN KALITESINE gore hukum almisti (eslerin metni pakette yoktu).
#   Degisen satir sayisi: 35. Diger 606 satira DOKUNULMADI.
sha256,reasons,char_count,source_ordinal,preview,duplicate_of,duplicate_of_preview,verdict
aa45dda9b0f23477cfd073a4e5239e62ee75178f550a2272eca1a359eb32570d,encoding_corruption,328,603710,"Arda umreye gidiyor Haberler >Spor Haberleri>Arda umreye gidiyor UMREYE giden ünlüler kervanına Arda Turan da katılıyor. İspanya'nın Atletico Madrid takımında forma giyen milli futbolcu, umreye gitmey",,,good
705f47aaec9b241365574d5648c1c7f28e4f11d28daac56f70daf9f13c1aa29f,encoding_corruption,553,607203,KPSS mağdurları mağduriyetlerinin giderilmesini istiyor 735565 | Eğitim Son dakika haberler Anasayfa Eğitim KPSS mağdurları mağduriyetlerinin giderilmesini istiyor KPSS mağdurları mağduriyetlerinin gi,,,correct_drop
3b6a20a10e0fbbdf6eb2632870fa500a2a385f8f63dcc47a9214ce1a3600cced,encoding_corruption,4025,610159,Kırıkkale Keskin Blog Ana Sayfa → Blog: Blog hangi film açılış sahnesi nietzscheye gönderme yapılarak bizi öldürmeye şey güçlendiriri sözüyle başlar hangi film açılış sahnesi nietzscheye gönderme yapı,,,correct_drop
3c14fa48038560960eaf3f49c1d713970c1e077ed97958fb0c4cb8453b63d940,encoding_corruption,1102,679029,"Savaş Dizileri - Harika Dizi Tür Savaş, Gazi; Gazi, bu vatan uğruna toprağa düşen, bu vatan için canlarını ve kanlarını seve seve veren Mehmetçiklerimizin hikayesi... Gazi, evlat yolu gözleyen anneler",,,correct_drop
f1134813dcfb48903f0b4eb4f0e59bac4df5b18ba67d7718e3582ad99f706d14,encoding_corruption,2042,1073084,"İnsanların kötü yönetilmesi, onların kötü olmalarından kaynaklandığı için bu tür rüyalar kişilerin hal ve durumlarını güzelliştirmeleri yönünde bir ihtardır. Her çeşit baskı ve z... Bir kimsenin rüyad",,,correct_drop
0323700dd8b2e4af1926d65078c29f9ccfc207e00dab94df8d1029b8b6c191f8,encoding_corruption,2988,1140723,"Haberler >Spor Haberleri>Briegel:Favori Beşiktaş Süper Lig'in ikinci yarısına zorlu beşiktaş maçıyla başlayacak olan Trabzonspor'da Teknik Direktör Hans Peter Briegel, Mehmet Ali Yılmaz Tesisleri'nde ",,,good
07c1e67403138980bec50154b1b99cc09a85b33e29e20a7594dd1b107ba80158,encoding_corruption,3546,1175294,Ubeydullah Sezikli & Sinan Topçu - Hasbi Rabbi Cellallah Mafi Kalbi Gayrullah Video 2015 Music Mp3 | Ubeydullah Sezikli & Sinan Topçu - Hasbi Rabbi Cellallah Mafi Kalbi Gayrullah Ubeydullah Sezikli & ,,,correct_drop
25628a49a44fcd756cc9833fd4cc82bcae5f46ad28614c71f0a37567580e28db,encoding_corruption,62910,1227791,"Kırsal Kalkınmacılar Girişimi: KIRSAL KALKINMA GİRİŞİMİ YEDİNCİ TOPLANTISI ""HES PROJELERİNİN KIRSAL KALKINMAYA ETKİSİ"" 14-16 EKİM 2011, UZUNDERE-ERZURUM KIRSAL KALKINMA GİRİŞİMİ YEDİNCİ TOPLANTISI ""HE",,,good
3c7f6efb99b4310c0f6967d41776cb50721efc2a33bd048fc094d5f329443850,encoding_corruption,6184,1305579,"Galileo Galilei kimdir ve hakkında bilgi Konu hakkında özet bilgi Galileo Galilei, (d. 15 Şubat 1564 – ö. 8 Ocak 1642). Modern fiziğin ve teleskobik astronominin kurucularından olan İtalyan bilim adam",,,good
ad474e8a50b81692253d830c67ea9f7a87044a88da70235f225c1aa788959549,encoding_corruption,3700,1354252,'Annemin sesini polis telsizinden duyuyordum' - Kelebek Magazin Haberleri Hürriyet>Kelebek Magazin>'Annemin sesini polis telsizinden duyuyordum' 'Annemin sesini polis telsizinden duyuyordum' Oyuncu Sa,,,good
cbadcb8b6ebc96b3c14de43c7c3656eec0fab3408daba521f18ce0372871a485,encoding_corruption,7183,1637588,Tekne Ekipmanları – Page 7 Anasayfa » Tekne Ekipmanları (sayfa 7) Tekne Akülerinin Kontrolü için yorumlar kapalı Kapalı tip bir bataryayı kontrol etmek için tek yol gerilimini okumaktır. Bu iş için ge,,,good
