# version: clean-candidate-newly-kept-sheet-strict-v1
# seed: 20260921
# sheet_size: 50
# population: STRICT newly kept (dropped by tr-web-v2, kept by loose tr-web-v3 AND still kept by the 2026-09-21 strict tr-web-v3)
# supersedes: var/teslim/rafa-yeni-tutulanlar-2026-09-21/ (the loose-rule sheet; population fell 25505 -> 4888 after the strict ruling)
# quality_report_path: var/derived/gardash_faz2_tr_dedup_20260621_06ac330e_clean_candidate_v3.txt.rejections.jsonl
# quality_report_sha256: 2becaf9d0f1fc9a8ce48a0ea6cc4a78b83b21eac22ce2e1754fbfb5548fdd778
# quality_report_records_total: 93223
# quality_report_records_quality_reasoned: 55677
# loose_newly_kept_index_path: var/olcum-2026-09-20/task-040-yeni-tutulanlar/yeni-tutulanlar-dizin.jsonl
# loose_newly_kept_index_sha256: 3f865a30fec10abb91714f772a6ef4bbdd44cd37b44bd88d9caf700a655fd790
# loose_newly_kept_records: 25505
# strict_newly_kept_records: 4888
# generated_at: 2026-09-21T18:11:54+00:00
# stratum_rule: first reason in `reasons`; rows with more than one reason form the `multi_reason` stratum
# allowed_verdicts: garbage / ok_to_keep / unsure
# question: the STRICT tr-web-v3 rule now KEEPS this text. Should it stay in the training data (`ok_to_keep`) or is it garbage (`garbage`)?
# reasons column: the v2 reasons that no longer fire under the strict v3
# stratum: encoding_corruption records=1847 chars=3838869
# stratum: wiki_markup_residue records=1923 chars=23819396
# stratum: extreme_repetition records=16 chars=105257
# stratum: commercial_keyword_stuffing records=401 chars=8526737
# stratum: dating_spam_cluster records=624 chars=8932652
# stratum: optics_spam_cluster records=18 chars=203415
# stratum: sexual_pharma_spam_cluster records=48 chars=1184130
# stratum: multi_reason records=11 chars=189234
sha256,reasons,char_count,source_ordinal,preview,duplicate_of,duplicate_of_preview,verdict
4380f0f3d4beb0786b9bc698f7a27aace45911f50e0885845848fe01a395ab69,encoding_corruption,570,607085,"Mincinozlu: Galibiyet anahtarı savunma Haberler >Spor Haberleri>Mincinozlu: Galibiyet anahtarı savunma Galatasaray Antrenörü Koray Mincinozlu, Beşiktaş maçı için tüm hafta savunma üzerinde çalıştıklar",,,ok_to_keep
d6cbab7bb104414bc6364385558754001cc7ad8f5bc1cc05fff15a8fd669153b,encoding_corruption,967,671834,Döviz rezervi 67 milyon dolar azaldı - Sondakika Ekonomi Haberleri Haberler >Ekonomi>Döviz rezervi 67 milyon dolar azaldı Döviz rezervi 67 milyon dolar azaldı 17.01.2002 - 15:58 | Son Güncelleme: 17.0,,,ok_to_keep
c36b0a8acaacd693dcf81a2b616fc72a09a8786617e2e5f699998850ea346462,encoding_corruption,7123,681709,Beyazperdede Sophia Loren'in oynadığı rolü Hale Soygazi sahnede canlandırıyor - Son Dakika Haberler HaberlerGündem HaberleriBeyazperdede Sophia Loren'in oynadığı rolü Hale Soygazi sahnede canlandırıyo,,,ok_to_keep
433cd52b93d8894cac653fa8bd8d030bb1d5ff97afd29e71053d242eb8a76e27,encoding_corruption,2753,867470,"Roddick şaşırttı Haberler >Spor Haberleri>Roddick şaşırttı 18.3 milyon dolar (yaklaşık 25 milyon YTL) ödüllü turnuvada bu yılın Wimbledon Turnuvası finalisti olan 4 numaralı seribaşı ABDli raket, Lüks",,,ok_to_keep
46e16a931a87a61b0babf7ee6da3a634fbd8ec02bc26ad2e7ab0a14c02314a23,encoding_corruption,2465,869302,"Müslüman ve İnternet – Uyarı! ""(Allah'ım) Bizi dosdoğru yola ilet…"" (Fatiha/6) Bugün sana çok şey yazmak isterdim. Ama düşüncelerimi yazıya dökemiyorum. Bunun iki sebebi olabilir: ya düşünce yoğunluğu",,,ok_to_keep
dfecb086308f48ac49f4f6b2c178966975edd1213b11a472e53f07bfa5bc7c66,encoding_corruption,1386,1104754,Bombalı saldırı düzenleyen terörist yakalandı - GÜNDEM - worknethaber doğru haberin hızlı adresi Bombalı saldırı düzenleyen terörist yakalandı Tarih: 12-06-2018 05:33:53 Şırnak'ta Fen Lisesine bombalı,,,ok_to_keep
648fe16e9c8b7f16778ccd2cf000bc9648c2fb0a4aa1a90d97a54401cb7b1bbf,encoding_corruption,1854,1212189,Dünya Bankası krediyi artırabilir - Sondakika Ekonomi Haberleri HaberlerEkonomi HaberleriDünya Bankası krediyi artırabilir GeriEkonomi Dünya Bankası krediyi artırabilir Dünya Bankası'nın gelecek yıl T,,,ok_to_keep
98b3a12284f8f6efe65167b1be4c17404f60509712106306f8208f4b97dcc08d,encoding_corruption,641,1217785,"Sinop Durağan Dağdelen Köyü Uydu Görüntüsü | Canli Mobese İzle,Trafik Şehir Kamera Anasayfa › Uydu Görüntüsü › Sinop Durağan Dağdelen Köyü Uydu Görüntüsü Sinop Durağan Dağdelen Köyü Uydu Görüntüsü Say",,,garbage
aff18cb9bff6191cf825dcf5096bd929b1c50c00238640459f3c9ee14f9ff520,encoding_corruption,1051,1285266,"Haberler >Spor Haberleri>Cordoba: Beşiktaş'ın gücünü göstereceğiz Beşiktaş'ın Kolombiyalı kalecisi Oscar Cordoba, İngiliz basınına verdiği röportajda, ''Chelsea'ye sürprizimiz var'' dedi. Chelsea karş",,,ok_to_keep
515bc996f8141e3e59d4947a29028af7e1384698ba0c98db25a454cb18c9c0d1,encoding_corruption,179,1312411,Gözaltı - Güncel Gözaltı Haberi - 5. Sayfa Toplam 27.886 Gözaltı haberi bulunmuştur. Mardin merkezli 10 ilde FETÖ'ye yönelik gerçekleştirilen operasyonda 9 kişi gözaltına alındı.�,,,garbage
